descricao,ano_criacao,periodo_criacao,componentes,ch_matriz
Técnico em Informática Integrado - Santa Rita,2015,2,"Algorítimos e Lógica de Programação, Artes, Biologia I, Educação Física I, Filosofia I, Física I, Fundamentos de Eletricidade, Fundamentos de Informática, Geografia I, História I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sistemas Digitais, Sociologia I, Biologia II, Educação Física II, Estrutura de Dados, Filosofia II, Física II, Fundamentos de Hardware, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Metodologia da Pesquisa Científica, Programação Orientada a Objetos, Química II, Sistemas Operacionais, Sociologia II, Análise e Projeto de Sistema, Banco de Dados, Biologia III, Desenvolvimento de Aplicações Web, Educação Física III, Empreendedorismo, Filosofia III, Física III, Higiene e Segurança do Trabalho, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química III, Redes de Computadores, Sociologia III, Tópicos Especiais em Informática, Língua Espanhola",3308
Técnico em Meio Ambiente Integrado - Santa Rita,2015,2,"Artes, Biologia I, Educação Física I, Filosofia I, Física I, Fundamentos de Ecologia, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química Ambiental, Química I, Sociologia I, Agroecologia e Permacultura, Biologia II, Educação Ambiental, Educação Física II, Filosofia II, Física II, Geografia II, Hidrologia e Poluição das Águas, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Manejo e Conservação de Solos, Matemática II, Metodologia da Pesquisa Científica, Planejamento e Gestão Ambiental, Química II, Sociologia II, Biologia III, Desenvolvimento Sustentável e Energias Renováveis, Educação Física III, Empreendedorismo, Filosofia III, Física III, Higiene e Segurança do Trabalho, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química III, Saneamento Ambiental e Gerenciamento de Resíduos, Sociologia III, Tópicos Especiais em Meio Ambiente, Tratamento e Reuso de Águas e Efluentes, Língua Espanhola",3307
Técnico em Cuidados de Idosos Subsequente ao Ensino Médio - Mangabeira,2015,2,"Anatomia e Fisiologia Humana no Processo de Envelhecimento, Aspectos Comportamentais e Culturais no Envelhecimento, Ética, Responsabilidades e Legislações Voltadas aos Cuidados dos idosos, Fundamentos de Gerontologia e Geriatria, Informática Aplicada aos Cuidados de Idosos, Linguagens e Práticas Discursivas, Direito e Legislação Voltados à Pessoa Idosa, Higiene Pessoal e Cuidados com a Pele, Noções  Básicas de Urgência e Emergência, Patologias Comuns à Pessoa Idosa, Políticas Públicas e Redes de Atenção à Pessoa Idosa, Segurança e Acessibilidade para a Pessoa Idosa, Atividades Lúdicas e Ocupacionais, Empreendedorismo e Projeto Social, Nutrição da Pessoa Idosa, Práticas Profissionais Supervisionadas I, Psicologia Aplicada ao Cuidador e ao Idoso, Cuidados Paliativos, Processos de Morte e Morrer, Práticas Integrativas e Complementares em Saúde, Práticas Profissionais Supervisionadas II, Relações Humanas e Qualidade de Vida",1329
Técnico em Pesca Subsequente (Antiga) - Cabedelo Centro/Lucena,2015,2,"Biologia Marinha, Cidadania e Direitos Humanos, Espanhol Instrumental, Informática Aplicada a Pesca, Navegação I, Noções de Mecânica, Português Aplicado, Tecnologia do Pescado I, Artes de Pesca, Comunicação em Pesca, Estabilidade e Noções de Construção Naval, Máquinas e Motores Aplicados a Pesca, Navegação II, Tecnologia do Pescado II, Empreendedorismo, Gestão da Embarcação, Higiene e Segurança, Inglês Instrumental, Legislação Aquaviária, Metodologia Cientifica, Oceanografia e Metereologia, Relações Humanas no Trabalho, Segurança no Meio Aquaviário, Técnicas de Sobrevivência Pessoal",996
Técnico em Meio Ambiente Subsequente - Cabedelo,2008,2,"Climatologia Ambiental, Ecologia, Higiene e Segurança do Trabalho, Informática Básica, Português Instrumental, Química, Seminário de Orientação à Pratica Profissional I, Controle de Poluição da Água, Hidrologia, Inglês Instrumental, Planejamento e Gestão Ambiental, Saúde e Meio Ambiente, Seminário de Orientação à Pratica Profissiona II, Educação Ambiental, Gerenciamento de Resíduos Sólidos, Legislação Ambiental, Relações Humanas no Trabalho, Seminário de Orientação à Pratica Profissional III, Tratamento de Água e Esgoto, Agroecologia, Empreendedorismo, Geoprocessamento Aplicado, Recuperação de Áreas Degredadas, Seminário de Orinetação para a Prática Profissional IV",1204
Técnico em Recursos Pesqueiros Subsequente - Cabedelo,2012,2,"Biologia Marinha, Informática, Inglês Instrumental, Introdução a Pesca e Aquicultura, Limnologia, Matemática, Oceanografia e Metereologia, Português Aplicado, Carcinicultura, Controle de Qualidade de Produtos Pesqueiros, Espanhol Instrumental, Fisioecologia dos Animais Aquáticos, Máquinas e Motores, Navegação, Artes de Pesca, Beneficiamento e Conservação do Pescado, Dinâmica de Populações Pesqueiras, Eletrificação e Refrigeração nas Embarcações, Empreendedorismo, Equipamentos Eletrônicos de Apoio a Pesca, Instalações e Construções Aquícolas, Metodologia do Trabalho Cientifico, Administração e Legislação dos Recursos Pesqueiros, Aquicultura Especial, Extensão Pesqueira, Higiene e Segurança do Trabalho, Nutrição na Aquicultura, Piscicultura, Relações Humanas no Trabalho, Tecnologia Pesqueira",1160
Técnico em Transporte Aquaviário Subsequente - Cabedelo Centro,2015,2,"Inglês Técnico, Introdução à Ciência dos Materiais, Legislação Marítima, Logística e Infraestrutura Portuária, Marinharia e Arte Naval, Matemática Aplicada, Motores de Combustão Interna e Refrigeração, Relações Humanas no Trabalho, Eletrotécnica aplicada, Estabilidade, Gestão Ambiental Aplicada, Gestão de Compras e Suprimentos, Gestão e Organização Aquaviárias, Higiene, Primeiros Socorros e Combate à Incêndio, Manutenção e Reparo Naval, Navegação I, Sistemas Auxiliares, Comércio Exterior e Sistema Aduaneiro, Empreendedorismo e Cooperativismo, Informática Aplicada, Metodologia do Trabalho Cientifico, Movimentação de Cargas e Estivagem, Navegação astronômica, Navegação Eletrônica, Oceanografia e Metereologia, Português Aplicado, Saúde e Segurança no Trabalho",997
Técnico Experimental em Náutica Subsequente - Cabedelo Centro,2015,2,"Arquitetura Naval e Serviço de Quarto de Navegação, História e Geografia Marítima, Matemática Aplicada, Navegação e Manobra, Prática de Marina, Relações Humanas no Trabalho, Segurança no Trabalho, Emergências, Combates a Incendio e Proteção do Navio, Inglês Técnico I, Manutenção de Maquinas e Equipamentos de Convés, Manutenção e Reparo Naval, Noções de Eletricidade e Eletrônica em Embarcação, Noções de Estabilidade e Estivagem, Primeiros Socorros e Sobrevivência, Sistemas de Propulsão e Auxiliares, Cidadania e Direitos Humanos, Informática Aplicada, Inglês Técnico II, Metodologia do Trabalho Científico, Oceanografia e Metereologia, Português Aplicado",1000
Técnico em Edificações Subsequente - Cajazeiras,2000,2,"Desenho Técnico, Física Aplicada, Informática Básica, Inglês Instrumental, Matemática Aplicada, Português Instrumental, Desenho Arquitetônico, Ética e Relações Humanas, Higiene e Segurança no Trabalho, Materiais de Construção, Meio Ambiente, Química Aplicada, Topografia, Desenho de Estruturas, Estabilidade das Construções, Projeto Arquitetônico, Projeto de Instalações Elétricas, Projeto de Instalações Hidrossanitárias, Tecnologia das Construções I, Empreendedorismo, Legislação Aplicada, Mecânica dos Solos, Planejamento e Orçamento de Obras, Projeto Assistido por Computador, Tecnologia da Qualidade, Tecnologia das Construções II",1334
Técnico em Eletromecânica Subsequente - Cajazeiras,2000,2,"Desenho Básico, Informática Básica, Inglês Instrumental, Matemática Aplicada, Meio Ambiente, Metodologia do Trabalho Cientifico, Português Instrumental, Tecnologia dos Materiais, Desenho Técnico e CAD, Elementos de Máquina, Eletricidade Básica, Higiene e Segurança do Trabalho, Máquinas e Equipamentos Mecânicos, Tecnologia Mecânica, Circuitos Elétricos, Eletrônica, Empreendedorismo, Introdução à Máquinas Elétricas, Produção Mecânica, Projetos Elétricos, Refrigeração, Relações Humanas no Trabalho, Automação, Fontes Alternativas de Energia, Instalações Elétricas Prediais, Manutenção Mecânica, Máquinas e Comandos Elétricos, Redes de Distribuição",1332
Técnico em Manutenção e Suporte em Informática Subsequente - Campina Grande,2006,2,"Fundamentos de Eletricidade, Higiene e Segurança do Trabalho, Inglês Instrumental, Introdução à Informática, Meio Ambiente, Português Instrumental, Relações Humanas no Trabalho, Sistemas Digitais, Eletrônica Analógica, Fundamentos de Redes de Computadores, Laboratório de Sistemas Operacionais, Manutenção e Suporte de Hardware I, Metodologia do Trabalho Cientifico, Tópicos Especiais I, Administração de Sistemas Operacionais Abertos, Administração de Sistemas Operacionais Proprietários, Empreendedorismo, Infraestrutura de Redes de Computadores, Manutenção e Suporte de Hardware II - MSI, Tópicos Especiais II",1000
Técnico em Mineração Subsequente - Campina Grande,2006,2,"Desenho Básico, Geologia Geral, Informática Básica, Inglês Instrumental, Matemática Básica, Português Instrumental, Relações Humanas no Trabalho, Lavra de Minas a Céu Aberto, Mineralogia Aplicada, Perfuração e Desmonte de Rochas, Prospecção e Depósitos Minerais, Topografia, Geoprocessamento, Gestão Organizacional e Segurança do Trabalho, Lavra de Minas Subterrânea, Lavra e Beneficiamento de Rochas Ornamentais, Metodologia da Pesquisa Científica, Tratamento de Minérios I, Empreendedorismo, Gestão e Legislação Mineral e Ambiental, Introdução a Economia Mineral, Movimentação e Transporte, Operação e Manutenção de Equipamentos de Mineração, Orientação para Prática Profissional, Tratamento de Minérios II",1199
Técnico em Eletrônica Subsequente - João Pessoa,2009,2,"Álgebra Booleana e Circuitos Lógicos, Eletricidade Básica, Informática Básica, Português Instrumental, Relações Humanas no Trabalho, Automação Comercial e Residencial, Eletrônica Analógica I, Eletrônica Digital, Higiene e Segurança no Trabalho, Inglês Instrumental, Segurança Eletrônica, Eletrônica Analógica II, Empreendedorismo, Sistemas de Áudio e Video, Sistemas Microcontrolados, Telecomunicações, Automação Industrial, Dispositivos Móveis, Energias Renováveis e Iluminação Eficiente, Manutenção Eletrônica, Metodologia Cientifica, Projetos Eletrônicos",1382
Técnico em Equipamentos Biomédicos Subsequente - João Pessoa,2003,2,"Circuitos Lógicos, Eletricidade Básica, Informática Básica, Inglês Instrumental, Introdução a Biomédica, Matemática Aplicada, Relações Humanas no Trabalho, Ambientes Hospitalares, Anatomia e Fisiologia, Eletrônica Analógica I, Equipamentos Biomédicos I, Práticas Profissionais, Sistemas Digitais, Aquisição de Sinais Biológicos, Eletrônica Analógica II, Eletropneumática, Empreendedorismo, Equipamentos Biomédicos II, Gerenciamento da Manutenção, Manutenção Eletromédica I, Calibração de Equipamentos Biomédicos, Equipamentos de Diagnóstico por Imagens, Infecção Hospitalar e Segurança no Ambiente Hospitalar, Instalações Hospitalares, Manutenção Eletromédica II, Metodologia do Trabalho Cientifico, Português Instrumental, Projetos Biomédicos",1325
Técnico em Eletrotécnica Subsequente - João Pessoa,2000,2,"Desenho Básico e Técnico, Eletricidade I, Eletrônica Digital, Informática Básica, Português Instrumental, Relações Humanas no Trabalho, Segurança em Instalações e Serviços com Eletricidade, Desenho Assistido por Computador, Eletricidade II, Eletrônica Analógica, Fontes Alternativas de Energia, Inglês Instrumental, Instalações Elétricas Prediais, Automação Predial, Comandos Elétricos, Eletrônica Industrial, Laboratório de Máquinas Elétricas, Máquinas Elétricas, Projeto de Instalações Elétricas Prediais, Projeto e Instalação de Redes de Distribuição AT/BT, Automação Industrial, Conservação de Energia Elétrica Predial e, Formação Empreendedora, Informática Aplicada, Manutenção Elétrica Industrial, Princípios da Organização do Trabalho, Projetos de Instalações Elétricas Industriais, Proteção de Sistemas Elétricos",1313
Técnico em Mecânica Subsequente - João Pessoa,2000,2,"Desenho Técnico, Higiene e Segurança no Trabalho, Língua Portuguesa, Matemática e Lógica, Psicologia do Trabalho, Desenho Auxiliado por Computador - CAD, Eletricidade Básica, Introdução a Tecnologia Mecânica, Máquinas Térmicas, Mecânica de Fluidos, Metrologia, Tecnologia dos Materiais, Ajustagem, Eletrônica Básica, Fresagem, Hidráulica, Motores de Combustão Interna, Pneumática, Refrigeração, Soldagem I -Oxiacetilênica, Tornearia I, Automação Industrial, Comando Numérico Computadorizado, Eletropneumática, Formação de Empreendedores, Manutenção Mecânica, Motores Elétricos, Soldagem II - Elétrica, Tornearia II",1200
Técnico em Secretariado Subsequente - João Pessoa,2012,2,"Comunicação Organizacional, Fundamentos da Administração, Informática Básica, Inglês Instrumental, Matemática Financeira, Noções de Direito Público e Privado, Relações Humanas no Trabalho, Técnicas Secretariais, Economia e Mercado, Formação de Empreendedores, Laboratório de Práticas Secretariais, Organização e Planejamento de Eventos, Português Instrumental, Qualidade no Atendimento, Responsabilidade Sócioambiental, Sistemas e Métodos Organizacionais",800
Técnico em Instrumento Musical Subsequente - João Pessoa,2008,2,"História da Arte, Inglês Instrumental, Instrumento I, Música Paraibana, Percepção I, Português Literário, Prática de Conjunto I, Técnica Vocal I, Teoria Musical I, Cultura Popular, Harmonia I, História da Música, Instrumento II, Percepção II, Prática de Conjunto II, Técnica Vocal II, Teoria Musical II, Audição e Crítica, Edição de Partitura, Harmonia II, Instrumento III, Introdução à Composição, Música Nordestina, Percepção III, Prática de Conjunto III, Teoria Musical III, Harmonia III, Instrumento IV, Música Brasileira, Percepção IV, Performance e Preparação para o Palco, Prática de Conjunto IV, Teoria Musical IV, Instrumento I - Baixo Elétrico, Instrumento I - Bandolim, Instrumento I - Bateria, Instrumento I - Canto, Instrumento I -Cavaquinho, Instrumento I - Clarinete, Instrumento I - Contrabaixo Acústico, Instrumento I - Contrabaixo Elétrico, Instrumento I - Guitarra Elétrica, Instrumento II - Baixo Elétrico, Instrumento II - Bandolim, Instrumento II - Bateria, Instrumento II - Canto, Instrumento II - Cavaquinho, Instrumento II - Clarinete, Instrumento II - Contrabaixo, Instrumento II - Guitarra Elétrica, Instrumento III - Baixo Elétrico, Instrumento III - Bandolim, Instrumento III - Bateria, Instrumento III - Canto, Instrumento III - Cavaquinho, Instrumento III - Clarinete, Instrumento III - Contrabaixo, Instrumento III - Guitarra Elétrica, Instrumento III - Piano, Instrumento III - Saxofone, Instrumento III - Trompete, Instrumento III - Viola, Instrumento III - Violão, Instrumento III - Violino, Instrumento III - Violoncelo, Instrumento II - Piano, Instrumento II - Saxofone, Instrumento II - Trompete, Instrumento II - Viola, Instrumento II - Violão, Instrumento II - Violino, Instrumento II - Violoncelo, Instrumento I - Piano, Instrumento I - Saxofone, Instrumento I - Trompete, Instrumento IV - Baixo Elétrico, Instrumento IV - Bandolim, Instrumento IV - Bateria, Instrumento IV - Canto, Instrumento IV - Cavaquinho, Instrumento IV - Clarinete, Instrumento IV - Contrabaixo, Instrumento IV - Guitarra Elétrica, Instrumento I - Viola, Instrumento I - Violão, Instrumento I - Violino, Instrumento I - Violoncelo, Instrumento IV - Piano, Instrumento IV - Saxofone, Instrumento IV - Trompete, Instrumento IV - Viola, Instrumento IV - Violão, Instrumento IV - Violino, Instrumento IV - Violoncelo",1089
Técnico em Manutenção e Suporte em Informática Subsequente - Monteiro,2008,2,"Fundamentos de Eletricidade, Higiene e Segurança do Trabalho, Inglês Instrumental, Introdução à Informática, Meio Ambiente, Português Instrumental, Relações Humanas no Trabalho, Sistemas Digitais, Eletrônica Analógica, Fundamentos de Redes de Computadores, Laboratório de Sistemas Operacionais, Manutenção e Suporte de Hardware I, Metodologia do Trabalho Cientifico, Tópicos I, Administração de Sistemas Operacionais Abertos, Administração de Sistemas Operacionais Proprietários, Empreendedorismo, Infraestrutura de Redes de Computadores, Manutenção e Suporte de Hardware II, Tópicos II, Língua Espanhola",1000
Técnico em Edificações Subsequente - Patos,2008,2,"Construção Civil e Meio Ambiente, Desenho Básico e Técnico, Física Aplicada, Informática Básica, Inglês Instrumental, Matemática Aplicada, Português Instrumental, Química Aplicada, Desenho Assistido por Computador, Empreendedorismo, Estabilidade das Construções, Higiene e Segurança no Trabalho, Materiais de Construção Civil, Relações Humanas no Trabalho, Topografia, Desenho Arquitetônico, Desenho de Estruturas, Instalações Elétricas Prediais, Instalações Hidrossanitárias, Metodologia Cientifica, Tecnologia da Construção I, Concreto Armado, Mecânica dos Solos, Planejamento e Orçamento de Obras, Projeto Arquitetônico, Tecnologia da Qualidade, Tecnologia das Construções II",1231
Técnico em Manutenção e Suporte em Informática Subsequente - Patos,2009,2,"Fundamentos de Eletricidade, Higiene e Segurança do Trabalho, Inglês Instrumental, Introdução à Informática, Meio Ambiente, Português Instrumental, Relações Humanas no Trabalho, Sistemas Digitais, Eletrônica Analógica, Fundamentos de Redes de Computadores, Laboratório de Sistemas Operacionais, Manutenção e Suporte de Hardware I, Metodologia do Trabalho Cientifico, Tópicos Especiais I, Administração de Sistemas Operacionais Abertos, Administração de Sistemas Operacionais Proprietários, Empreendedorismo, Infraestrutura de Redes de Computadores, Manutenção e Suporte de Hardware II, Tópicos Especiais II",1000
Técnico em Eletrotécnica Subsequente - Patos,2011,2,"Desenho Básico e Técnico, Eletricidade Básica I, Eletrônica Digital, Higiene e Segurança do Trabalho, Informática Básica, Inglês Instrumental, Matemática Aplicada, Português Instrumental, Automação Predial, Desenho Assistido por Computador, Eletricidade Básica II, Eletrônica Analógica, Instalações Elétricas Prediais, Psicologia do Trabalho, Acionamentos Elétricos, Eletrônica Industrial, Informática Aplicada, Máquinas Elétricas, Projeto de Instalações Elétricas Prediais, Projeto/Instalação de Redes de Distribuição Rural e Urbana, Automação Industrial, Eficiência Energética e Fontes Alternativas de Energia, Formação Empreendedora, Manutenção Industrial, Princípio e Organização do Trabalho, Projetos de Instalações Elétricas Industriais, Proteção de Sistemas Elétricos de Potência, Tópico Especial em NR-10",1330
